name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,description
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,"Balu shahi is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 45 minutes and cooking time is 25 minutes. Main ingredients include Maida flour, yogurt, oil, sugar."
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,"Boondi is a vegetarian dessert from Rajasthan in the West region of India. It has a sweet flavor. Preparation time is 80 minutes and cooking time is 30 minutes. Main ingredients include Gram flour, ghee, sugar."
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,"Gajar ka halwa is a vegetarian dessert from Punjab in the North region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 60 minutes. Main ingredients include Carrots, milk, sugar, ghee, cashews, raisins."
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,"Ghevar is a vegetarian dessert from Rajasthan in the West region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 30 minutes. Main ingredients include Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom."
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,"Gulab jamun is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 40 minutes. Main ingredients include Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water."
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,"Imarti is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Sugar syrup, lentil flour."
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,"Jalebi is a vegetarian dessert from Uttar Pradesh in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom."
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,-1,-1,"Kaju katli is a vegetarian dessert from -1 in the -1 region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Cashews, ghee, cardamom, sugar."
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,"Kalakand is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Milk, cottage cheese, sugar."
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,-1,-1,"Kheer is a vegetarian dessert from -1 in the -1 region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 40 minutes. Main ingredients include Milk, rice, sugar, dried fruits."
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,-1,-1,"Laddu is a vegetarian dessert from -1 in the -1 region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 40 minutes. Main ingredients include Gram flour, ghee, sugar."
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,"Lassi is a vegetarian dessert from Punjab in the North region of India. It has a sweet flavor. Preparation time is 5 minutes and cooking time is 5 minutes. Main ingredients include Yogurt, milk, nuts, sugar."
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,-1,-1,"Nankhatai is a vegetarian dessert from -1 in the -1 region of India. It has a sweet flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom."
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,Uttar Pradesh,North,"Petha is a vegetarian dessert from Uttar Pradesh in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Firm white pumpkin, sugar, kitchen lime, alum powder."
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,"Phirni is a vegetarian dessert from Odisha in the East region of India. It has a sweet flavor. Preparation time is 30 minutes and cooking time is 20 minutes. Main ingredients include Rice, sugar, nuts."
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,"Rabri is a vegetarian dessert from Uttar Pradesh in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 45 minutes. Main ingredients include Condensed milk, sugar, spices, nuts."
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,"Sheera is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 25 minutes. Main ingredients include Semolina, ghee, nuts, milk."
Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,Uttarakhand,North,"Singori is a vegetarian dessert from Uttarakhand in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Khoa, coconut, molu leaf."
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,"Sohan halwa is a vegetarian dessert from Uttar Pradesh in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 60 minutes. Main ingredients include Corn flour, ghee, dry fruits."
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,-1,60,sweet,dessert,Maharashtra,West,"Sohan papdi is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is -1 minutes and cooking time is 60 minutes. Main ingredients include Gram flour, ghee, sugar, milk, cardamom."
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,Odisha,East,"Chhena jalebi is a vegetarian dessert from Odisha in the East region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Chhena, sugar, ghee."
Chhena kheeri,"Chhena, sugar, milk",vegetarian,-1,60,sweet,dessert,Odisha,East,"Chhena kheeri is a vegetarian dessert from Odisha in the East region of India. It has a sweet flavor. Preparation time is -1 minutes and cooking time is 60 minutes. Main ingredients include Chhena, sugar, milk."
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,sweet,dessert,Odisha,East,"Chhena poda is a vegetarian dessert from Odisha in the East region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 45 minutes. Main ingredients include Sugar, chenna cheese."
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,"Cham cham is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 40 minutes and cooking time is 60 minutes. Main ingredients include Flour, cream, sugar, saffron, lemon juice, coconut flakes."
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,Odisha,East,"Kheer sagar is a vegetarian dessert from Odisha in the East region of India. It has a sweet flavor. Preparation time is 25 minutes and cooking time is 60 minutes. Main ingredients include Chenna, condensed milk, sugar, saffron, cardamom."
Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,West Bengal,East,"Ledikeni is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 45 minutes and cooking time is 45 minutes. Main ingredients include Chhena, sugar, ghee."
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East,"Lyangcha is a vegetarian dessert from Assam in the North East region of India. It has a sweet flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Flour, fried milk power, sugar syrup."
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North,"Malapua is a vegetarian dessert from Bihar in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 120 minutes. Main ingredients include Yoghurt, refined flour, ghee, fennel seeds."
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,West Bengal,East,"Mihidana is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 30 minutes. Main ingredients include Besan flour, sugar, ghee."
Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,"Misti doi is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 480 minutes and cooking time is 30 minutes. Main ingredients include Milk, jaggery."
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,West Bengal,East,"Pantua is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 45 minutes and cooking time is 45 minutes. Main ingredients include Chhena, sugar, ghee, flour."
Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,"Pithe is a vegetarian dessert from Assam in the North East region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 35 minutes. Main ingredients include Rice flour, wheat flour."
