name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,description,recipe_dict
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,"Balu shahi is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 45 minutes and cooking time is 25 minutes. Main ingredients include Maida flour, yogurt, oil, sugar.","{'name': 'Balu Shahi', 'ingredients': 'Maida flour, yogurt, oil, sugar', 'diet': 'vegetarian', 'prep_time': 45, 'cook_time': 25, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'West Bengal', 'region': 'East'}"
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,"Boondi is a vegetarian dessert from Rajasthan in the West region of India. It has a sweet flavor. Preparation time is 80 minutes and cooking time is 30 minutes. Main ingredients include Gram flour, ghee, sugar.","{'name': 'Boondi', 'ingredients': 'Gram flour, ghee, sugar', 'diet': 'vegetarian', 'prep_time': 80, 'cook_time': 30, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Rajasthan', 'region': 'West'}"
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,"Gajar ka halwa is a vegetarian dessert from Punjab in the North region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 60 minutes. Main ingredients include Carrots, milk, sugar, ghee, cashews, raisins.","{'name': 'Gajar ka halwa', 'ingredients': 'Carrots, milk, sugar, ghee, cashews, raisins', 'diet': 'vegetarian', 'prep_time': 15, 'cook_time': 60, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Punjab', 'region': 'North'}"
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,"Ghevar is a vegetarian dessert from Rajasthan in the West region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 30 minutes. Main ingredients include Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom.","{'name': 'Ghevar', 'ingredients': 'Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom', 'diet': 'vegetarian', 'prep_time': '15 minutes', 'cook_time': '30 minutes', 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Rajasthan', 'region': 'West'}"
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,"Gulab jamun is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 40 minutes. Main ingredients include Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water.","{'name': 'Gulab Jamun', 'ingredients': 'Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water', 'diet': 'vegetarian', 'prep_time': 15, 'cook_time': 40, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'West Bengal', 'region': 'East'}"
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,"Imarti is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Sugar syrup, lentil flour.","{'name': 'Imarti', 'ingredients': 'Sugar syrup, lentil flour', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 50, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'West Bengal', 'region': 'East'}"
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,"Jalebi is a vegetarian dessert from Uttar Pradesh in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom.","{'name': 'Jalebi', 'ingredients': 'Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 50, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Uttar Pradesh', 'region': 'North'}"
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,-1,-1,"Kaju katli is a vegetarian dessert from -1 in the -1 region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Cashews, ghee, cardamom, sugar.","{'name': 'Kaju Katli', 'ingredients': 'Cashews, ghee, cardamom, sugar', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 20, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': '-1', 'region': '-1'}"
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,"Kalakand is a vegetarian dessert from West Bengal in the East region of India. It has a sweet flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Milk, cottage cheese, sugar.","{'name': 'Kalakand', 'ingredients': 'Milk, cottage cheese, sugar', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 30, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'West Bengal', 'region': 'East'}"
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,-1,-1,"Kheer is a vegetarian dessert from -1 in the -1 region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 40 minutes. Main ingredients include Milk, rice, sugar, dried fruits.","{'name': 'Kheer', 'ingredients': 'Milk, rice, sugar, dried fruits', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 40, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': '-1', 'region': '-1'}"
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,-1,-1,"Laddu is a vegetarian dessert from -1 in the -1 region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 40 minutes. Main ingredients include Gram flour, ghee, sugar.","{'name': 'Laddu', 'ingredients': 'Gram flour, ghee, sugar', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 40, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': '-1', 'region': '-1'}"
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,"Lassi is a vegetarian dessert from Punjab in the North region of India. It has a sweet flavor. Preparation time is 5 minutes and cooking time is 5 minutes. Main ingredients include Yogurt, milk, nuts, sugar.","{'name': 'Lassi', 'ingredients': 'Yogurt, milk, nuts, sugar', 'diet': 'vegetarian', 'prep_time': 5, 'cook_time': 5, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Punjab', 'region': 'North'}"
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,-1,-1,"Nankhatai is a vegetarian dessert from -1 in the -1 region of India. It has a sweet flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom.","{'name': 'Nankhatai', 'ingredients': 'Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 30, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': '-1', 'region': '-1'}"
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,Uttar Pradesh,North,"Petha is a vegetarian dessert from Uttar Pradesh in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Firm white pumpkin, sugar, kitchen lime, alum powder.","{'name': 'Petha', 'ingredients': 'Firm white pumpkin, sugar, kitchen lime, alum powder', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 30, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Uttar Pradesh', 'region': 'North'}"
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,"Phirni is a vegetarian dessert from Odisha in the East region of India. It has a sweet flavor. Preparation time is 30 minutes and cooking time is 20 minutes. Main ingredients include Rice, sugar, nuts.","{'name': 'Phirni', 'ingredients': 'Rice, sugar, nuts', 'diet': 'vegetarian', 'prep_time': 30, 'cook_time': 20, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Odisha', 'region': 'East'}"
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,"Rabri is a vegetarian dessert from Uttar Pradesh in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 45 minutes. Main ingredients include Condensed milk, sugar, spices, nuts.","{'name': 'Rabri', 'ingredients': 'Condensed milk, sugar, spices, nuts', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 45, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Uttar Pradesh', 'region': 'North'}"
